INFO:root:train trajgru begin...
INFO:root:total_num:6464821
INFO:root:torch.Size([15, 4, 1, 600, 600])
INFO:root:<class 'torch.Tensor'>
INFO:root:torch.Size([5, 4, 1, 600, 600])
INFO:root:torch.Size([10, 4, 1, 600, 600])
INFO:root:(4, 15)
INFO:root:load data:4.2822630405426025	disk to mem:3.6759724617004395	normalize:0.24919342994689941	numpy to tensor:0.22934365272521973
INFO:root:load data:3.90179181098938	disk to mem:3.309894561767578	normalize:0.2968864440917969	numpy to tensor:0.20428156852722168
INFO:root:load data:4.126642227172852	disk to mem:3.5036966800689697	normalize:0.29818010330200195	numpy to tensor:0.22211980819702148
INFO:root:load data:3.329369068145752	disk to mem:2.81624174118042	normalize:0.23305845260620117	numpy to tensor:0.18794512748718262
INFO:root:load data:4.533866882324219	disk to mem:3.9580795764923096	normalize:0.22829508781433105	numpy to tensor:0.20740628242492676
INFO:root:load data:3.2971267700195312	disk to mem:2.752338171005249	normalize:0.2466113567352295	numpy to tensor:0.20787262916564941
INFO:root:load data:5.384300470352173	disk to mem:4.7767651081085205	normalize:0.270169734954834	numpy to tensor:0.22887635231018066
INFO:root:load data:3.1584854125976562	disk to mem:2.5600810050964355	normalize:0.268906831741333	numpy to tensor:0.2210533618927002
INFO:root:load data:3.2480075359344482	disk to mem:2.6536450386047363	normalize:0.26932621002197266	numpy to tensor:0.2205665111541748
INFO:root:load data:3.376713514328003	disk to mem:2.766834259033203	normalize:0.25992536544799805	numpy to tensor:0.2484111785888672
INFO:root:load data:3.419640302658081	disk to mem:2.914106845855713	normalize:0.19698238372802734	numpy to tensor:0.20029330253601074
INFO:root:load data:4.612794637680054	disk to mem:4.042677402496338	normalize:0.23356127738952637	numpy to tensor:0.22824501991271973
INFO:root:load data:4.05673885345459	disk to mem:3.4912896156311035	normalize:0.24700617790222168	numpy to tensor:0.20979595184326172
INFO:root:load data:3.2007646560668945	disk to mem:2.7691736221313477	normalize:0.16538333892822266	numpy to tensor:0.18289446830749512
INFO:root:load data:3.4942984580993652	disk to mem:2.9085261821746826	normalize:0.28147149085998535	numpy to tensor:0.20787930488586426
INFO:root:load data:2.960570812225342	disk to mem:2.3611440658569336	normalize:0.27560877799987793	numpy to tensor:0.2147064208984375
INFO:root:load data:4.572793960571289	disk to mem:3.974797487258911	normalize:0.29521918296813965	numpy to tensor:0.20276427268981934
INFO:root:load data:3.4822299480438232	disk to mem:2.801884174346924	normalize:0.27138853073120117	numpy to tensor:0.20511841773986816
INFO:root:load data:4.450619697570801	disk to mem:3.8336453437805176	normalize:0.26616954803466797	numpy to tensor:0.2232987880706787
INFO:root:load data:3.549931287765503	disk to mem:3.0553953647613525	normalize:0.19728493690490723	numpy to tensor:0.19877862930297852
INFO:root:load data:2.6181650161743164	disk to mem:2.0648131370544434	normalize:0.25367188453674316	numpy to tensor:0.20491647720336914
INFO:root:load data:3.9815244674682617	disk to mem:3.469374418258667	normalize:0.22795462608337402	numpy to tensor:0.1958322525024414
INFO:root:load data:4.136743545532227	disk to mem:3.5712316036224365	normalize:0.24535894393920898	numpy to tensor:0.21918368339538574
INFO:root:load data:5.037830352783203	disk to mem:4.432417154312134	normalize:0.28200745582580566	numpy to tensor:0.2228701114654541
INFO:root:load data:4.663458824157715	disk to mem:4.068788528442383	normalize:0.27283787727355957	numpy to tensor:0.21703314781188965
INFO:root:load data:7.323763132095337	disk to mem:6.649049520492554	normalize:0.2837638854980469	numpy to tensor:0.22980928421020508
INFO:root:load data:4.631074666976929	disk to mem:4.0236523151397705	normalize:0.284714937210083	numpy to tensor:0.20788049697875977
